airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
IndiGo,5,4,2022,1,22:25,06:20,jaipur,Bengaluru,7h 55m,E,1 stop,3133,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,12:00,14:25,jaipur,Bengaluru,2h 25m,E,direct,3135,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,05:30,08:00,jaipur,Bengaluru,2h 30m,E,direct,3345,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,22:20,00:50,jaipur,Bengaluru,2h 30m,E,direct,3368,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,18:30,21:10,jaipur,Bengaluru,2h 40m,E,direct,3425,20211230-1508,3657.0666666666666,3119
Air India,5,4,2022,1,14:00,11:10,jaipur,Bengaluru,21h 10m,E,1 stop,4519,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,14:15,18:55,jaipur,Bengaluru,4h 40m,E,1 stop,5146,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,19:05,00:05,jaipur,Bengaluru,5h 00m,E,1 stop,3119,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,06:05,11:15,jaipur,Bengaluru,5h 10m,E,1 stop,3525,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,09:55,15:30,jaipur,Bengaluru,5h 35m,E,1 stop,3539,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,19:50,01:35,jaipur,Bengaluru,5h 45m,E,1 stop,3539,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,12:35,19:00,jaipur,Bengaluru,6h 25m,E,1 stop,3689,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,19:05,01:30,jaipur,Bengaluru,6h 25m,E,1 stop,3749,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,18:30,01:15,jaipur,Bengaluru,6h 45m,E,1 stop,3772,20211230-1508,3657.0666666666666,3119
IndiGo,5,4,2022,1,14:15,21:05,jaipur,Bengaluru,6h 50m,E,1 stop,3853,20211230-1508,3657.0666666666666,3119
