airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
IndiGo,1,1,2022,5,05:15,07:50,jaipur,Bengaluru,2h 35m,E,direct,7203,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,22:20,01:00,jaipur,Bengaluru,2h 40m,E,direct,7679,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,04:50,10:35,jaipur,Bengaluru,5h 45m,E,1 stop,7688,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,14:15,20:35,jaipur,Bengaluru,6h 20m,E,1 stop,7736,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,14:10,20:55,jaipur,Bengaluru,6h 45m,E,1 stop,7946,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,14:15,22:15,jaipur,Bengaluru,8h 00m,E,1 stop,8264,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,06:20,16:05,jaipur,Bengaluru,9h 45m,E,1 stop,9718,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,14:15,00:05,jaipur,Bengaluru,9h 50m,E,1 stop,6203,20211230-1158,7911.4,6203
SpiceJet,1,1,2022,5,11:55,11:20,jaipur,Bengaluru,23h 25m,E,1 stop,7203,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,04:50,09:35,jaipur,Bengaluru,4h 45m,E,1 stop,7679,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,17:40,01:05,jaipur,Bengaluru,7h 25m,E,1 stop,7688,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,17:40,22:50,jaipur,Bengaluru,5h 10m,E,1 stop,7736,20211230-1158,7911.4,6203
IndiGo,1,1,2022,5,06:20,11:20,jaipur,Bengaluru,5h 00m,E,1 stop,7946,20211230-1158,7911.4,6203
AirAsia India,1,1,2022,5,11:50,23:15,jaipur,Bengaluru,11h 25m,E,1 stop,8264,20211230-1158,7911.4,6203
GoFirst,1,1,2022,5,11:20,23:40,jaipur,Bengaluru,12h 20m,E,1 stop,9718,20211230-1158,7911.4,6203
SpiceJet,2,1,2022,6,06:30,11:20,jaipur,Bengaluru,4h 50m,E,1 stop,7648,20211230-1159,8574.666666666666,7628
SpiceJet,2,1,2022,6,11:55,11:20,jaipur,Bengaluru,23h 25m,E,1 stop,7653,20211230-1159,8574.666666666666,7628
GoFirst,2,1,2022,6,09:05,21:30,jaipur,Bengaluru,12h 25m,E,1 stop,7656,20211230-1159,8574.666666666666,7628
Air India,2,1,2022,6,10:15,12:50,jaipur,Bengaluru,2h 35m,E,direct,7659,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,17:15,20:50,jaipur,Bengaluru,3h 35m,E,direct,7808,20211230-1159,8574.666666666666,7628
IndiGo,2,1,2022,6,05:15,07:50,jaipur,Bengaluru,2h 35m,E,direct,7820,20211230-1159,8574.666666666666,7628
GoFirst,2,1,2022,6,11:15,13:45,jaipur,Bengaluru,2h 30m,E,direct,10856,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,11:50,20:55,jaipur,Bengaluru,9h 05m,E,1 stop,12450,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,10:25,14:45,jaipur,Bengaluru,4h 20m,E,1 stop,12846,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,10:25,14:45,jaipur,Bengaluru,4h 20m,E,direct,7628,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,11:50,23:15,jaipur,Bengaluru,11h 25m,E,1 stop,7653,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,10:25,23:15,jaipur,Bengaluru,12h 50m,E,1 stop,7656,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,11:50,15:30,jaipur,Bengaluru,3h 40m,E,1 stop,7659,20211230-1159,8574.666666666666,7628
AirAsia India,2,1,2022,6,11:50,15:30,jaipur,Bengaluru,3h 40m,E,direct,7808,20211230-1159,8574.666666666666,7628
IndiGo,2,1,2022,6,22:20,01:00,jaipur,Bengaluru,2h 40m,E,direct,7820,20211230-1159,8574.666666666666,7628
IndiGo,3,1,2022,0,05:15,07:50,jaipur,Bengaluru,2h 35m,E,direct,7203,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,22:20,01:00,jaipur,Bengaluru,2h 40m,E,direct,7679,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,14:10,20:55,jaipur,Bengaluru,6h 45m,E,1 stop,7688,20211230-1201,58828.86666666667,6203
GoFirst,3,1,2022,0,17:20,19:50,jaipur,Bengaluru,2h 30m,E,direct,7736,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,19:30,01:45,jaipur,Bengaluru,6h 15m,E,1 stop,7946,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,17:40,01:05,jaipur,Bengaluru,7h 25m,E,1 stop,8264,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,04:50,09:35,jaipur,Bengaluru,4h 45m,E,1 stop,9718,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,06:20,11:20,jaipur,Bengaluru,5h 00m,E,1 stop,773480,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,04:50,10:35,jaipur,Bengaluru,5h 45m,E,1 stop,6203,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,14:15,20:35,jaipur,Bengaluru,6h 20m,E,1 stop,7203,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,17:00,23:30,jaipur,Bengaluru,6h 30m,E,1 stop,7679,20211230-1201,58828.86666666667,6203
IndiGo,3,1,2022,0,19:45,05:25,jaipur,Bengaluru,9h 40m,E,1 stop,7688,20211230-1201,58828.86666666667,6203
